,NormMSE,Pearson,Spearman,split
BHLHE40+ctrl,0.1878277,0.954206879961719,0.9701754385964911,1
HARS+ctrl,0.28494975,0.9750140098266908,0.887719298245614,1
ATP5B+ctrl,0.057111043,0.9718424225115979,0.9385964912280702,1
DERL2+ctrl,0.116428144,0.9846981013121904,0.9947368421052631,1
TELO2+ctrl,0.19966762,0.8126481755590458,0.9982456140350877,1
MRPL39+ctrl,0.2060159,0.9063442681139822,0.863157894736842,1
MANF+ctrl,0.030408524,0.9949695418854088,1.0,1
TARS+ctrl,0.4375788,0.8028069514844594,0.987719298245614,1
TTI1+ctrl,0.20109656,0.9378249384413931,0.9719298245614034,1
SRP72+ctrl,0.09574869,0.9875104874407595,0.9964912280701754,1
SCYL1+ctrl,0.06801284,0.9691675190717478,0.9929824561403509,1
HYOU1+ctrl,0.12051592,0.9491801689229726,0.9982456140350877,1
TMED10+ctrl,0.016006611,0.9957247663991035,1.0,1
CCND3+ctrl,0.23692058,0.95304400935307,0.9947368421052631,1
COPB1+ctrl,0.0760824,0.9924897384534578,0.9924812030075187,1
CARS+ctrl,0.14325067,0.9918065844885564,0.8929824561403509,1
SPCS2+ctrl,0.015232903,0.9934392977545452,1.0,1
CREB1+ctrl,1.319412,-0.5599388129732714,0.9443609022556391,2
SLMO2+ctrl,0.41621196,0.8673783497002532,0.9070175438596491,2
TIMM23+ctrl,0.014826645,0.9927611719054696,0.9947368421052631,2
AMIGO3+ctrl,0.088950366,0.9731189150532377,1.0,2
QARS+ctrl,0.16763912,0.9789953167254462,0.9070175438596491,2
ATP5B+ctrl,0.03430124,0.9906028327939157,0.9701754385964911,2
SYVN1+ctrl,0.15789421,0.9428096542525527,0.987719298245614,2
MTHFD1+ctrl,0.3820683,0.8053339927617098,0.8719298245614034,2
TTI1+ctrl,0.16468824,0.9578908878933586,0.9719298245614034,2
SRP68+ctrl,0.099142395,0.9526253839386966,0.9982456140350877,2
TIMM44+ctrl,0.34149808,0.8829386849190126,0.882456140350877,2
DDOST+ctrl,0.045304652,0.9948713535845883,0.9964912280701754,2
TMED10+ctrl,0.05968406,0.990445070178043,0.9982456140350877,2
DNAJC19+ctrl,0.07150613,0.9814440264606205,0.9842105263157893,2
CARS+ctrl,0.26666024,0.9756129326646367,0.8298245614035088,2
P4HB+ctrl,0.03113401,0.9897300791000149,0.9982456140350877,2
SPCS2+ctrl,0.010002844,0.9977291987849456,1.0,2
OST4+ctrl,0.12182473,0.990963843860684,0.9947368421052631,3
EIF2B4+ctrl,0.0114923185,0.9945818812900546,0.9912280701754386,3
IER3IP1+ctrl,0.6532207,0.7731961261242942,0.8982456140350877,3
YIPF5+ctrl,0.107451476,0.9557452206511501,0.987719298245614,3
DAD1+ctrl,0.018497443,0.9917503883281509,0.9982456140350877,3
SEL1L+ctrl,0.106880955,0.9570903220710645,0.9624060150375938,3
TTI2+ctrl,0.009971052,0.994210361470474,0.9982456140350877,3
