,NormMSE,Pearson,Spearman,split
ELK1+ctrl,3.2304049,-0.594682381733068,0.9609022556390976,1
YY1+ctrl,2.2162788,-0.7471746254324785,0.8917293233082706,1
OGG1+ctrl,0.4187573,0.9905392768851534,0.918796992481203,1
AURKA+ctrl,0.05895272,0.9974643351495186,0.9879699248120299,1
CREB1+ctrl,3.65937,-0.9361742202592607,0.8150375939849623,2
ELF1+ctrl,0.5587285,0.8060648809237869,0.9894736842105262,2
CIT+ctrl,0.47995204,0.9690684241426201,0.9067669172932331,2
AURKC+ctrl,0.0057437923,0.9968218993693757,0.993984962406015,2
GABPA+ctrl,1.9856972,-0.8478755917381022,0.918796992481203,3
IRF1+ctrl,1.7902181,-0.8552673103038353,0.9067669172932331,3
CENPE+ctrl,0.20188265,0.9942204415401443,0.9443609022556391,3
AURKB+ctrl,0.2826238,0.9949784533983433,0.9428571428571428,3
ELK1+ctrl,2.5246897,-0.5016740903573964,0.9729323308270676,4
YY1+ctrl,2.448243,-0.7586174214437702,0.8917293233082706,4
CENPE+ctrl,0.09869341,0.9910999110194911,0.9864661654135337,4
TOR1AIP1+ctrl,0.39020753,0.9754128851876918,0.956390977443609,4
GABPA+ctrl,1.339685,-0.5607744078008738,0.9609022556390976,5
IRF1+ctrl,1.906906,-0.879357253426437,0.9082706766917292,5
OGG1+ctrl,0.15426065,0.9947546549963531,0.9699248120300751,5
ECT2+ctrl,0.39684558,0.9869756011171782,0.9368421052631578,5
IRF1+ctrl,1.6928837,-0.857034021289204,0.9127819548872179,6
E2F4+ctrl,2.876561,-0.946203132917793,0.9022556390977443,6
ECT2+ctrl,0.4117455,0.9885703447612632,0.9338345864661652,6
AURKB+ctrl,0.31755278,0.9936447928490986,0.9443609022556391,6
GABPA+ctrl,0.9675602,0.06594982946476374,0.9609022556390976,7
IRF1+ctrl,0.60056597,0.767405801827909,0.9774436090225563,7
E2F4+ctrl,1.2417201,-0.5030062770326474,0.9473684210526315,7
RACGAP1+ctrl,0.9928647,0.046037160091174985,0.825563909774436,7
YY1+ctrl,2.0541222,-0.7217299078275442,0.9203007518796992,8
ECT2+ctrl,0.7433564,0.931362953720969,0.8646616541353382,8
AURKC+ctrl,0.010642083,0.9979541787056033,0.9954887218045112,8
AURKB+ctrl,0.28995824,0.9939329091120932,0.9533834586466164,8
ELK1+ctrl,1.6966134,-0.37384012175954406,0.9834586466165413,9
E2F4+ctrl,2.3548667,-0.9543814230892691,0.9127819548872179,9
YY1+ctrl,2.5162578,-0.8224326717740837,0.8902255639097743,9
EGR1+ctrl,1.6279194,-0.8890305790408197,0.9127819548872179,9
ELK1+ctrl,1.2553644,-0.06104514384063605,0.9819548872180449,10
E2F4+ctrl,4.722709,-0.9759418320034101,0.8390977443609022,10
EGR1+ctrl,1.7499682,-0.8727404087120816,0.9052631578947368,10
TOR1AIP1+ctrl,0.6984211,0.9396688868871298,0.9112781954887217,10
