,NormMSE,Pearson,Spearman,split
MED9+ctrl,0.33849493,0.8784783176585134,0.9624060150375938,1
RPL10A+ctrl,0.048648644,0.9808454395817497,0.993984962406015,1
EIF1AX+ctrl,0.39496192,0.8665231589775603,0.9964912280701754,1
POP7+ctrl,4.906908,0.4835719166605975,0.9804511278195487,1
MED10+ctrl,0.15253165,0.9856779551765866,0.993984962406015,1
PSMC4+ctrl,0.19531415,0.9892566570014395,0.8947368421052632,1
CNOT3+ctrl,0.835926,0.6800240273340887,0.8962406015037594,1
ELP5+ctrl,1.7129271,0.13010859568305586,0.9729323308270676,1
RPS6+ctrl,0.1062095,0.9724715668669464,0.9789473684210527,1
MTOR+ctrl,0.6324926,0.8947440612327201,0.9218045112781955,1
PRPF40A+ctrl,1.0607115,-0.2248441218562218,0.9759398496240601,1
SLU7+ctrl,0.86282665,0.6068230627623037,0.8360902255639097,1
SLC7A5+ctrl,1.9101348,0.5084751887883263,0.9714285714285714,1
RPS27+ctrl,0.17831382,0.721922789173124,0.9684210526315788,1
U2SURP+ctrl,0.96694756,0.1827479941634353,0.8719298245614034,1
C1QBP+ctrl,2.9253242,-0.4923149763429576,0.9714285714285714,1
PCF11+ctrl,1.3736099,0.07133779034924209,0.9879699248120299,1
SERBP1+ctrl,2.2224357,-0.4784410896011715,0.956390977443609,1
ABCB7+ctrl,0.77705634,0.7784072484942107,0.9894736842105262,1
MAK16+ctrl,0.23285767,0.9332472427073315,0.9819548872180449,1
ZCCHC9+ctrl,1.6303314,-0.4112964346239528,0.9473684210526315,1
LAMTOR4+ctrl,1.3926492,0.009383455945934626,0.9548872180451128,1
ACTL6A+ctrl,1.2866409,-0.46402379904030505,0.9052631578947368,1
BUB3+ctrl,0.9073241,0.35299852589855923,0.7834586466165413,1
SAMM50+ctrl,0.43994713,0.793384501111337,0.9714285714285714,1
ALG2+ctrl,1.6900508,-0.6540292192353006,0.9639097744360902,1
RPS19+ctrl,0.047079947,0.9768131554729159,0.9744360902255638,1
MCM4+ctrl,0.40003654,0.8570424168549075,0.9879699248120299,1
PSMD11+ctrl,0.0726925,0.9683044163449537,0.9774436090225563,1
PSMB7+ctrl,0.1759456,0.9119581154413897,0.9804511278195487,1
DYNLL1+ctrl,1.0926005,-0.18869704709570853,0.9736842105263157,1
COG2+ctrl,1.1592559,0.44276103889203094,0.9473684210526315,1
RPLP2+ctrl,0.51102257,0.7357661090788677,0.9744360902255638,1
LSM5+ctrl,0.3545964,0.9545164473530068,0.9759398496240601,1
DPH2+ctrl,1.4413025,0.18864222630543434,0.9879699248120299,1
TCOF1+ctrl,0.62200594,0.468569603691628,0.9819548872180449,1
SART1+ctrl,0.6110248,0.49845117037181996,0.9924812030075187,1
CWF19L2+ctrl,0.21010627,0.9304534171798271,0.9759398496240601,1
BGLAP+ctrl,1.4689736,-0.11012892835413338,0.9909774436090225,1
TCERG1+ctrl,0.39731067,0.8422916953716537,0.9729323308270676,1
SUGT1+ctrl,1.3137656,-0.42152178445625743,0.9834586466165413,1
MZT1+ctrl,1.4365885,-0.07795322116637371,0.9263157894736842,1
LSM7+ctrl,0.034746706,0.984192560829425,0.9834586466165413,1
NFRKB+ctrl,0.27670994,0.7407211335818555,0.9578947368421054,1
SRPRB+ctrl,0.7769057,0.3466110080748679,0.9533834586466164,1
RPS11+ctrl,0.020225637,0.9847735362916876,0.980701754385965,1
RPL21+ctrl,0.06013634,0.996646908401384,0.9909774436090225,1
PHAX+ctrl,0.695452,0.752356023824894,0.900751879699248,1
LSM2+ctrl,0.13179971,0.9893122523821635,0.993984962406015,1
ATP6V1A+ctrl,0.4737258,0.6929192281259272,0.9774436090225563,1
RPS28+ctrl,0.017748037,0.8855659163080497,0.9578947368421054,1
GAB2+ctrl,1.5066657,-0.7261514578875612,0.4541353383458646,1
MAGOH+ctrl,0.47767317,0.9065452851868478,0.9398496240601503,1
U2AF1+ctrl,0.37186256,0.9435421595658076,0.9443609022556391,1
PRPF4+ctrl,0.10241854,0.8863918598061957,0.9593984962406013,1
ORC5+ctrl,0.18961304,0.9203941108747925,0.9578947368421054,1
