,NormMSE,Pearson,Spearman,split
ACTB+ctrl,0.8730023,0.07436512515110309,0.9789473684210527,1
CCDC6+ctrl,1.7847724,-0.2161703931314802,0.9669172932330825,1
CAMLG+ctrl,1.1590327,-0.10876960160425049,0.8646616541353382,1
RNF8+ctrl,1.112165,0.8574350940984199,0.9849624060150375,1
SACM1L+ctrl,1.4460926,-0.5070831162710796,0.9699248120300751,1
GTF3C2+ctrl,0.120704025,0.9441838388748034,0.9774436090225563,1
UBR4+ctrl,0.6392284,0.5159298257726402,0.9774436090225563,1
NBPF12+ctrl,1.6855172,0.3776331025838602,0.9368421052631578,1
ZBTB14+ctrl,0.9523948,0.44619961511357736,0.7097744360902255,1
PPA1+ctrl,0.82292926,0.6194900874796395,0.9849624060150375,1
IK+ctrl,1.2809833,-0.48296208772871424,0.8360902255639097,1
INTS3+ctrl,0.26707986,0.9606514543167068,0.959759375883321,1
LMO2+ctrl,0.80022603,0.298817466611789,0.9473684210526315,1
LTBP4+ctrl,1.3615361,-0.5326772825472772,0.8887218045112781,1
SPCS3+ctrl,1.2086647,0.4988815783409955,0.8977443609022555,1
SERF2+ctrl,0.8333136,0.2724990471926133,0.9354981155081721,1
DDX59+ctrl,0.9721876,0.34059645982723535,0.9353383458646616,1
METTL21A+ctrl,0.96198815,0.24132575344773458,0.8045112781954886,1
TSR1+ctrl,0.96550995,0.907573321215623,0.8240601503759398,1
BCL2L1+ctrl,4.0247874,-0.5845914835385502,0.9804511278195487,1
UBE2M+ctrl,0.8106824,0.4755316219079238,0.9368421052631578,1
IPO13+ctrl,0.09160793,0.9832761412550338,0.8604739232057362,1
CPSF3+ctrl,0.18055166,0.8865112223974935,0.9428571428571428,1
SF3A2+ctrl,0.1793501,0.9276663954681106,0.9969924812030074,1
MED24+ctrl,0.40155044,0.8344037175408564,0.9082706766917292,1
PUF60+ctrl,0.71728754,0.8381823221366071,0.8410793542211903,1
UNC45A+ctrl,0.5045631,0.8286938396070199,0.849624060150376,1
PRORP+ctrl,1.3006386,-0.46132015685323113,0.8932330827067668,1
MRPL34+ctrl,0.48620543,0.8670129940644403,0.956390977443609,1
GART+ctrl,0.8705045,0.6411286660198885,0.8133144833595863,1
GAR1+ctrl,0.13835125,0.9658690948763027,0.6483441087518103,1
EIF3J+ctrl,0.7267736,0.5154993041737336,0.9383458646616539,1
EIF2B3+ctrl,0.766228,0.8139264018312375,0.9573506473541017,1
SAMD4B+ctrl,1.4775394,-0.09294019173256252,0.932330827067669,1
SNRNP200+ctrl,0.4843337,0.9763437887135786,0.9398496240601503,1
BCAR1+ctrl,2.3097231,-0.1622074272913496,0.9894736842105262,1
RBM10+ctrl,0.2536322,0.9270571777400758,0.7804511278195487,1
NCL+ctrl,0.17406213,0.9721504841383156,0.7336963369092675,1
CDC27+ctrl,0.1763897,0.9530530398767115,0.6480997732960815,1
PPP1R7+ctrl,0.35196212,0.9273945640761802,0.8497190209280261,1
RCCD1+ctrl,0.57938397,0.7833472699263475,0.9759398496240601,1
PAF1+ctrl,0.423188,0.8918087622066873,0.9710418136875922,1
LIN52+ctrl,0.17829852,0.9841129945309195,0.156390977443609,1
SUPT20H+ctrl,0.5794668,0.6047142131931635,0.9458646616541352,1
CASC3+ctrl,0.63916785,0.598207442610994,0.9398496240601503,1
RPL26+ctrl,0.013735782,0.994228264921026,0.5329238226020875,1
MRPL32+ctrl,0.23877816,0.9085600941698128,0.993984962406015,1
TTK+ctrl,0.21752584,0.9292717686129776,0.8571428571428572,1
NPLOC4+ctrl,0.6035093,0.6231434664151602,0.7142857142857143,1
MEX3A+ctrl,0.32164007,0.8070536931074396,0.9383458646616539,1
CENPW+ctrl,0.59069717,0.6322748242579499,0.9368421052631578,1
CCNK+ctrl,2.4695437,-0.5080937316911984,0.9744360902255638,1
CLOCK+ctrl,1.6393579,-0.7264218482587953,0.5834586466165413,1
SYS1+ctrl,0.38665262,0.8984824374992397,0.9248120300751879,1
HNRNPA1+ctrl,3.1290715,-0.576453798343804,0.8175438596491227,1
INTS8+ctrl,0.30374628,0.954299734129717,0.9759398496240601,1
CENPP+ctrl,0.7749323,0.4855746510868771,0.9235986316310013,1
CAPZB+ctrl,1.1886098,0.20090987023209383,0.9669172932330825,1
GNB1L+ctrl,1.7869629,0.00740882149650326,0.9533834586466164,1
CCT3+ctrl,1.173304,-0.40027591541187113,0.5413533834586466,1
DHX9+ctrl,1.3914943,0.12998622963281095,0.918796992481203,1
PSMA3+ctrl,0.036837418,0.9887109230754392,0.7431758955934099,1
MVK+ctrl,1.6478128,-0.6218801593380513,0.8812030075187969,1
SLC2A8+ctrl,1.0307043,0.34609645095954006,0.9552464007616128,1
ORC6+ctrl,0.89769745,0.26270044563634465,0.8875457998382286,1
TFRC+ctrl,2.2741866,0.09546924785895548,0.9022556390977443,1
UFL1+ctrl,2.2031367,-0.5578082900557347,0.993984962406015,1
RBM15+ctrl,1.3016763,0.2173095005624007,0.932330827067669,1
SNRPA1+ctrl,0.35993993,0.9393121784690831,0.751996042173223,1
CDC16+ctrl,0.11130934,0.9786032514064691,0.9729323308270676,1
NEDD1+ctrl,0.7938537,0.5679623993390644,0.932330827067669,1
GTF2A1+ctrl,0.5842405,0.7240117523906682,0.8912478222994303,1
DDX1+ctrl,0.57317644,0.7269890965317634,0.9127819548872179,1
CCDC59+ctrl,0.72802615,0.7277332741840772,0.9684210526315788,1
NIFK+ctrl,0.1324611,0.9264080449119586,0.6471009973595884,1
ICE1+ctrl,0.10470409,0.9741165424389301,0.8852952863751326,1
UBE2H+ctrl,0.81402045,0.4718503741492177,0.9894736842105262,1
LSM4+ctrl,0.16846228,0.9819687669452017,0.9293233082706768,1
PALB2+ctrl,0.5206375,0.8671980058150789,0.8960853535594128,1
USP14+ctrl,0.7069109,0.6198325530077111,0.9172932330827066,1
RFT1+ctrl,0.8064923,0.1744276623479423,0.932330827067669,1
SMG9+ctrl,0.8556195,0.019944649267074524,0.7593984962406014,1
TAF6L+ctrl,0.86376965,0.3375213193779753,0.9548872180451128,1
PSMG3+ctrl,1.1767142,0.6912218899125449,0.9233082706766916,1
DHDDS+ctrl,0.60138595,0.7152798835134406,0.9082706766917292,1
U2AF1+ctrl,0.34538883,0.9004399508432394,0.9473684210526315,1
YTHDC1+ctrl,0.95026785,0.13591559932119382,0.9157894736842105,1
NCKAP1+ctrl,1.2145809,-0.08735003578546825,0.8770214986520004,1
TEFM+ctrl,0.6266711,0.3467609462613654,0.9533834586466164,1
PSME1+ctrl,0.93569773,0.2762857682846935,0.8390977443609022,1
SUMO2+ctrl,0.86163855,0.5454902439937981,0.7503990659184505,1
DBR1+ctrl,0.78815454,0.3542704678403527,0.7744360902255639,1
TIMM22+ctrl,0.82612866,0.7337653224818861,0.9363058799604964,1
TMX2+ctrl,1.0495707,0.2699196683043755,0.9112781954887217,1
GINS4+ctrl,0.035446055,0.99089206053197,0.7814968585758391,1
RPL21+ctrl,0.003400624,0.9965881199140098,0.3549885393904511,1
ATP6AP2+ctrl,1.0535568,0.4831285778524866,0.9263157894736842,1
NCAPD2+ctrl,0.26873672,0.909401551446205,0.993984962406015,1
USP7+ctrl,1.4121442,-0.33383166788188984,0.8711401312236889,1
