,NormMSE,Pearson,Spearman,split
BHLHE40+ctrl,0.7421294,0.78133893,0.9526315789473684,1
HARS+ctrl,0.061067864,0.9808533,0.9701754385964911,1
ATP5B+ctrl,0.03802635,0.99374026,0.9859649122807018,1
DERL2+ctrl,0.075798616,0.98628587,0.9964912280701754,1
TELO2+ctrl,0.1559689,0.8565393,1.0,1
MRPL39+ctrl,0.16172062,0.9137755,0.8859649122807017,1
MANF+ctrl,0.03507269,0.9951217,1.0,1
TARS+ctrl,0.35092965,0.8219845,0.975438596491228,1
TTI1+ctrl,0.26615703,0.9517705,0.956140350877193,1
SRP72+ctrl,0.075642295,0.9687058,0.9964912280701754,1
SCYL1+ctrl,0.77454686,0.6374932,0.9140350877192982,1
HYOU1+ctrl,0.16694355,0.8922671,0.9947368421052631,1
TMED10+ctrl,0.0059017437,0.9978789,1.0,1
CCND3+ctrl,0.32096973,0.9510941,0.9736842105263157,1
COPB1+ctrl,0.0380076,0.9878204,0.9969924812030074,1
CARS+ctrl,0.29539594,0.9864567,0.8333333333333334,1
SPCS2+ctrl,0.015072604,0.99071115,0.9982456140350877,1
CREB1+ctrl,0.78756064,0.6955071,0.9578947368421054,2
SLMO2+ctrl,0.28748193,0.9147663,0.9649122807017543,2
TIMM23+ctrl,0.012992243,0.99455357,0.9929824561403509,2
AMIGO3+ctrl,0.16488317,0.95209837,0.9984962406015038,2
QARS+ctrl,0.16695127,0.9775217,0.9105263157894736,2
ATP5B+ctrl,0.015998533,0.99308765,0.9859649122807018,2
SYVN1+ctrl,0.03931086,0.9773544,0.9982456140350877,2
MTHFD1+ctrl,0.3971049,0.77347124,0.8578947368421052,2
TTI1+ctrl,0.1851084,0.9709455,0.9649122807017543,2
SRP68+ctrl,0.07982023,0.9579414,1.0,2
TIMM44+ctrl,0.2555347,0.9234317,0.8964912280701753,2
DDOST+ctrl,0.08829837,0.9731107,0.975438596491228,2
TMED10+ctrl,0.026846442,0.9956658,1.0,2
DNAJC19+ctrl,0.1650317,0.97821033,0.9649122807017543,2
CARS+ctrl,0.30189237,0.97463536,0.8298245614035088,2
P4HB+ctrl,0.030000556,0.98957944,0.9982456140350877,2
SPCS2+ctrl,0.018648725,0.99465835,0.9982456140350877,2
OST4+ctrl,0.16940372,0.99587077,0.9947368421052631,3
EIF2B4+ctrl,0.051410846,0.98408467,0.9771929824561404,3
IER3IP1+ctrl,1.0926183,0.43043613,0.8298245614035088,3
YIPF5+ctrl,0.16219038,0.9630824,0.9894736842105263,3
DAD1+ctrl,0.21063496,0.9834905,0.9614035087719298,3
SEL1L+ctrl,0.16084015,0.9703941,0.9744360902255638,3
TTI2+ctrl,0.020717727,0.9836469,0.9982456140350877,3
DERL2+ctrl,0.095549226,0.97847503,0.9947368421052631,3
SEC61B+ctrl,0.028079862,0.98494655,0.9964912280701754,3
EIF2B2+ctrl,0.06591794,0.9861859,0.9789473684210527,3
HSPA5+ctrl,0.9482891,0.60867095,0.6857142857142857,3
TIMM44+ctrl,0.30401534,0.9190481,0.8789473684210527,3
UFM1+ctrl,0.051813982,0.981474,0.9982456140350877,3
SEC61G+ctrl,0.029517265,0.99357706,0.9929824561403509,3
DNAJC19+ctrl,0.11191887,0.98429215,0.9842105263157893,3
TMED2+ctrl,0.060439218,0.99242437,1.0,3
SPCS3+ctrl,0.056769755,0.9836377,0.9929824561403509,3
OST4+ctrl,0.04341154,0.9885259,0.9982456140350877,4
SEC61A1+ctrl,0.14114542,0.97850764,0.8859649122807017,4
AMIGO3+ctrl,0.07904853,0.98347765,0.9984962406015038,4
UFL1+ctrl,0.15264916,0.97233266,0.9649122807017543,4
DDRGK1+ctrl,0.044573992,0.9745852,0.987719298245614,4
MTHFD1+ctrl,0.36449522,0.82974404,0.8543859649122807,4
HSPA9+ctrl,0.2665645,0.912966,0.9087719298245613,4
SEC61B+ctrl,0.046943806,0.9818686,1.0,4
TARS+ctrl,0.57029164,0.80225134,0.9701754385964911,4
HSPA5+ctrl,0.7873272,0.7637104,0.7157894736842104,4
SRP68+ctrl,0.0884782,0.94949657,1.0,4
PTDSS1+ctrl,0.15111662,0.99394053,0.9912280701754386,4
HYOU1+ctrl,0.06681372,0.97204494,0.9947368421052631,4
SLC35B1+ctrl,0.037530296,0.97861195,1.0,4
UFM1+ctrl,0.05538619,0.9791026,0.9894736842105263,4
PPWD1+ctrl,0.07374515,0.97144204,0.987719298245614,4
TMED2+ctrl,0.020067828,0.9981966,0.9982456140350877,4
HARS+ctrl,0.07268837,0.99134123,0.980701754385965,5
DAD1+ctrl,0.10638638,0.9852223,0.9894736842105263,5
IARS2+ctrl,0.024732416,0.992161,0.9684210526315788,5
DDRGK1+ctrl,0.021029456,0.9872116,0.9912280701754386,5
STT3A+ctrl,0.08321959,0.9580575,0.9954887218045112,5
SAMM50+ctrl,0.035222445,0.9950827,0.9964912280701754,5
MRGBP+ctrl,0.9773209,0.19147195,0.9087719298245613,5
SYVN1+ctrl,0.064773686,0.9916378,0.9947368421052631,5
TMEM167A+ctrl,0.16581477,0.9668689,0.9684210526315788,5
SLC39A7+ctrl,0.0750027,0.9780082,0.9982456140350877,5
SEC63+ctrl,0.042072177,0.9889678,0.9964912280701754,5
ASCC3+ctrl,0.26092005,0.87968653,0.9859649122807018,5
HSPA5+ctrl,0.7345191,0.73053324,0.7533834586466165,5
KCTD16+ctrl,0.031531423,0.9937148,0.9984962406015038,5
CHERP+ctrl,0.44789895,0.87819177,0.8807017543859648,5
AARS+ctrl,0.10641191,0.9799162,0.9140350877192982,5
CARS+ctrl,0.30541328,0.97520673,0.8333333333333334,5
