,NormMSE,Pearson,Spearman,split
ELK1+ctrl,0.5646676,0.69939643,0.9879699248120299,1
YY1+ctrl,0.30792403,0.90482324,0.9879699248120299,1
OGG1+ctrl,0.6669232,0.9691491,0.8812030075187969,1
AURKA+ctrl,0.006213444,0.99685705,0.9834586466165413,1
CREB1+ctrl,0.4573826,0.8885304,0.9909774436090225,2
ELF1+ctrl,0.20130262,0.96975714,0.9969924812030074,2
CIT+ctrl,0.00980444,0.9985038,0.9804511278195487,2
AURKC+ctrl,0.030181022,0.9967985,0.993984962406015,2
GABPA+ctrl,1.9587735,-0.83576,0.932330827067669,3
IRF1+ctrl,0.2597087,0.9418795,0.9819548872180449,3
CENPE+ctrl,0.0074604996,0.9983588,0.9969924812030074,3
AURKB+ctrl,0.0081498055,0.9985645,1.0,3
ELK1+ctrl,0.49024308,0.7490087,0.9849624060150375,4
YY1+ctrl,0.42532364,0.9155262,0.9774436090225563,4
CENPE+ctrl,0.008905345,0.9993397,0.9909774436090225,4
TOR1AIP1+ctrl,0.3233261,0.99576086,0.9443609022556391,4
GABPA+ctrl,1.4353424,-0.7204671,0.9578947368421054,5
IRF1+ctrl,0.51220137,0.91862684,0.9789473684210527,5
OGG1+ctrl,0.5666005,0.98345006,0.9022556390977443,5
ECT2+ctrl,0.26107463,0.9968424,0.9518796992481202,5
IRF1+ctrl,0.3782674,0.9447985,0.9894736842105262,6
E2F4+ctrl,0.10017102,0.9821935,0.9954887218045112,6
ECT2+ctrl,0.21829148,0.9966348,0.9729323308270676,6
AURKB+ctrl,0.057449702,0.9979783,0.9849624060150375,6
GABPA+ctrl,2.1176236,-0.8830042,0.8917293233082706,7
IRF1+ctrl,0.8129548,0.4587267,0.9654135338345864,7
E2F4+ctrl,0.4300038,0.93878883,0.9909774436090225,7
RACGAP1+ctrl,0.17482449,0.99728477,0.9503759398496241,7
YY1+ctrl,0.34184298,0.9340662,0.9789473684210527,8
ECT2+ctrl,0.2571044,0.99590755,0.9518796992481202,8
AURKC+ctrl,0.14449638,0.99690187,0.9834586466165413,8
AURKB+ctrl,0.07333673,0.9961691,0.9834586466165413,8
ELK1+ctrl,0.25983414,0.8976734,0.993984962406015,9
E2F4+ctrl,0.2742321,0.9473866,0.993984962406015,9
YY1+ctrl,0.52742386,0.8243576,0.9729323308270676,9
EGR1+ctrl,0.2078215,0.9611055,0.9879699248120299,9
ELK1+ctrl,0.9050102,0.4186481,0.9879699248120299,10
E2F4+ctrl,0.81853443,0.26045793,0.9759398496240601,10
EGR1+ctrl,0.23773624,0.963752,0.9849624060150375,10
TOR1AIP1+ctrl,0.4554208,0.9758126,0.9353383458646616,10
