,NormMSE,Pearson,Spearman,split
MED9+ctrl,0.04144598,0.9740337,0.9473684210526315,1
RPL10A+ctrl,0.06514054,0.97269595,0.9879699248120299,1
EIF1AX+ctrl,0.3845717,0.83965844,0.987719298245614,1
POP7+ctrl,6.1451583,0.49218056,0.9864661654135337,1
MED10+ctrl,0.20842968,0.98370373,0.9954887218045112,1
PSMC4+ctrl,0.08598102,0.9917443,0.9503759398496241,1
CNOT3+ctrl,0.38488758,0.8447178,0.9037593984962405,1
ELP5+ctrl,1.3522038,0.15061294,0.9804511278195487,1
RPS6+ctrl,0.017654695,0.9837906,0.9771929824561404,1
MTOR+ctrl,0.97310877,0.685599,0.9263157894736842,1
PRPF40A+ctrl,1.0072,-0.103056386,0.9774436090225563,1
SLU7+ctrl,0.30022192,0.97665524,0.9849624060150375,1
SLC7A5+ctrl,1.1931968,0.816845,0.9879699248120299,1
RPS27+ctrl,0.10254409,0.8372346,0.9859649122807018,1
U2SURP+ctrl,1.1098179,-0.030602373,0.8736842105263157,1
C1QBP+ctrl,0.52845293,0.66149145,0.9819548872180449,1
PCF11+ctrl,0.54775393,0.5828171,0.9924812030075187,1
SERBP1+ctrl,1.6815475,-0.36074483,0.9819548872180449,1
ABCB7+ctrl,1.5890666,0.8090131,0.9789473684210527,1
MAK16+ctrl,0.5257986,0.90079457,0.9759398496240601,1
ZCCHC9+ctrl,0.20054157,0.83165294,0.9714285714285714,1
LAMTOR4+ctrl,0.7577714,0.4634811,0.9684210526315788,1
ACTL6A+ctrl,0.9233693,0.16499758,0.9233082706766916,1
BUB3+ctrl,0.48107037,0.7487739,0.8781954887218045,1
SAMM50+ctrl,0.639741,0.75794137,0.9834586466165413,1
ALG2+ctrl,0.8955145,0.04384686,0.9759398496240601,1
RPS19+ctrl,0.036464404,0.9867631,0.9729323308270676,1
MCM4+ctrl,0.19583595,0.92840195,0.9954887218045112,1
PSMD11+ctrl,0.05568872,0.9774171,0.9774436090225563,1
PSMB7+ctrl,0.26764414,0.97148997,0.9834586466165413,1
DYNLL1+ctrl,1.6168218,-0.2966023,0.9631578947368421,1
COG2+ctrl,0.25579134,0.86980116,0.9894736842105262,1
RPLP2+ctrl,0.22008675,0.8832788,0.9834586466165413,1
LSM5+ctrl,0.2614633,0.9511243,0.9789473684210527,1
DPH2+ctrl,1.4327586,0.1793315,0.9819548872180449,1
TCOF1+ctrl,0.9041361,0.43521538,0.9969924812030074,1
SART1+ctrl,0.5702903,0.39889494,0.9879699248120299,1
CWF19L2+ctrl,0.6585431,0.5056928,0.9744360902255638,1
BGLAP+ctrl,0.5093215,0.39946976,0.9338345864661652,1
TCERG1+ctrl,0.92085844,0.30721918,0.9548872180451128,1
SUGT1+ctrl,1.2931293,-0.24042152,0.9774436090225563,1
MZT1+ctrl,0.62302196,0.54828763,0.9338345864661652,1
LSM7+ctrl,0.042064827,0.9725783,0.9894736842105262,1
NFRKB+ctrl,0.13550782,0.8772301,0.9954887218045112,1
SRPRB+ctrl,0.566243,0.6671533,0.9744360902255638,1
RPS11+ctrl,0.051732626,0.9931893,0.9894736842105263,1
RPL21+ctrl,0.10535634,0.99291515,0.9804511278195487,1
PHAX+ctrl,0.15950339,0.8390493,0.9609022556390976,1
LSM2+ctrl,0.15490837,0.9790555,0.9984962406015038,1
ATP6V1A+ctrl,0.10890451,0.8865758,0.9729323308270676,1
RPS28+ctrl,0.021735167,0.8998451,0.9654135338345864,1
GAB2+ctrl,0.885216,0.32014593,0.6511278195488721,1
MAGOH+ctrl,0.91680765,0.63888884,0.9067669172932331,1
U2AF1+ctrl,0.5267323,0.88607925,0.9082706766917292,1
PRPF4+ctrl,0.10167561,0.89159626,0.9804511278195487,1
ORC5+ctrl,1.8430053,-0.6111963,0.900751879699248,1
SMN2+ctrl,0.7486459,0.7305351,0.9578947368421054,1
ANKRD11+ctrl,1.220118,0.14218338,0.9639097744360902,1
CCDC86+ctrl,1.0044245,0.22574762,0.9609022556390976,1
MRPL51+ctrl,0.24880034,0.9269651,0.9969924812030074,1
EXOSC9+ctrl,0.22081132,0.94181955,0.9680331636064532,1
TRMT10C+ctrl,0.71616596,0.6006626,0.9954887218045112,1
EIF2B5+ctrl,0.24998553,0.9764878,0.8766917293233082,1
KPNB1+ctrl,0.31742167,0.90672714,0.9518796992481202,1
DDX55+ctrl,0.32423308,0.90746295,0.9864661654135337,1
FNTA+ctrl,0.6192211,0.6631981,0.9774436090225563,1
MRPL16+ctrl,0.14446639,0.92468226,0.9954887218045112,1
DHDDS+ctrl,0.8617986,0.57336354,0.8887218045112781,1
POLD3+ctrl,0.060329773,0.96295,0.9894736842105262,1
POLR2D+ctrl,0.14460273,0.9575802,0.9849624060150375,1
DYNC1H1+ctrl,0.24944378,0.2862134,0.9924812030075187,1
ZNF574+ctrl,0.93546367,0.45938903,0.9864661654135337,1
CCT6A+ctrl,0.0976194,0.9605401,0.9804511278195487,1
TARS+ctrl,0.09688251,0.94148755,0.9649122807017543,1
WBP11+ctrl,1.1551405,-0.12760398,0.9353383458646616,1
MED20+ctrl,0.050585702,0.961787,0.993984962406015,1
WDR12+ctrl,0.64757687,0.60294557,0.9669172932330825,1
NOP2+ctrl,0.10303023,0.95792454,0.9984962406015038,1
CCDC59+ctrl,0.084590375,0.69573706,0.9609022556390976,1
NIFK+ctrl,0.72630924,0.5073135,0.9624060150375938,1
HAUS4+ctrl,1.7794425,-0.5766648,0.9293233082706768,1
DDX54+ctrl,0.25522834,0.8916935,0.9729323308270676,1
CASP8AP2+ctrl,1.2113249,-0.052386887,0.9278195488721804,1
RPL36+ctrl,0.031235293,0.99644643,0.993984962406015,1
GINS3+ctrl,0.32507864,0.8743252,0.9879699248120299,1
RIOK1+ctrl,0.36707968,0.91504806,0.9909774436090225,1
EBNA1BP2+ctrl,0.28121462,0.8781911,0.9929824561403509,1
ETF1+ctrl,0.36241245,0.96745235,0.9699248120300751,1
ORC1+ctrl,1.6692796,0.57518536,0.9624060150375938,1
GINS2+ctrl,0.115421824,0.96262735,0.9684210526315788,1
TOP1+ctrl,0.70732325,-0.08362765,0.9789473684210527,1
RPS15A+ctrl,0.022513911,0.9875119,0.9759398496240601,1
WDHD1+ctrl,0.46789128,0.59653413,0.9894736842105262,1
DCUN1D5+ctrl,1.2202662,0.11915446,0.9548872180451128,1
DHX16+ctrl,0.74667567,0.5506201,0.8721804511278194,1
PSMB3+ctrl,0.5715723,0.7967203,0.8971767322032617,1
BOP1+ctrl,2.0030987,0.8933304,0.9894736842105262,1
SRP54+ctrl,0.3755893,0.89112544,0.9759398496240601,1
SMU1+ctrl,0.479118,0.8718642,0.9654135338345864,1
GFM1+ctrl,3.7324789,-0.004669767,0.9593984962406013,1
JAZF1+ctrl,0.73147374,0.50421673,0.8045112781954886,1
CIAPIN1+ctrl,0.7793878,0.552234,0.8285714285714285,1
RCC1+ctrl,0.55309576,0.61267674,0.9593984962406013,1
PFN1+ctrl,2.0130997,0.058231644,0.9684210526315788,1
COX7C+ctrl,0.36483136,0.7998072,0.9909774436090225,1
DDX5+ctrl,1.1327751,-0.1595051,0.9789473684210527,1
RRS1+ctrl,0.098239735,0.957114,0.9849624060150375,1
PRMT5+ctrl,1.0029068,0.20274353,0.9293233082706768,1
NUP62+ctrl,0.42455295,0.91111773,0.8977443609022555,1
AAMP+ctrl,0.22679536,0.895363,0.9834586466165413,1
RBM8A+ctrl,0.85438246,0.6985259,0.9281150063578033,1
PPARGC1B+ctrl,1.4213896,0.091719836,0.9759398496240601,1
WDR55+ctrl,0.4699928,0.71648467,0.9714285714285714,1
SYF2+ctrl,0.90539217,0.33493468,0.956390977443609,1
CSTF1+ctrl,1.5368022,-0.107443616,0.8541353383458646,1
DDX24+ctrl,0.43977034,0.9178568,0.9819548872180449,1
POLR2C+ctrl,0.045770388,0.92811435,0.9984962406015038,1
MYBBP1A+ctrl,0.5600229,0.6735356,0.9909774436090225,1
SURF6+ctrl,0.23583533,0.85976005,0.9924812030075187,1
NUBP1+ctrl,0.2805269,0.86318713,0.9804511278195487,1
ZMAT5+ctrl,0.50285167,0.7423681,0.9774436090225563,1
MRPS24+ctrl,0.22145922,0.9008719,0.993984962406015,1
RPAP2+ctrl,0.5192733,0.73385197,0.900751879699248,1
MED11+ctrl,0.2024404,0.9841395,0.9774436090225563,1
SMARCB1+ctrl,1.8707442,-0.29873532,0.9383458646616539,1
IPO9+ctrl,1.7317653,0.14960474,0.9609022556390976,1
INTS6+ctrl,0.78310066,0.45011097,0.9744360902255638,1
EXOSC6+ctrl,0.14531836,0.9858642,0.9849624060150375,1
HSPE1+ctrl,0.29485527,0.90872765,0.9302326476910528,1
ABCF1+ctrl,0.29836255,0.8762,0.9924812030075187,1
MRPS11+ctrl,0.3428201,0.9019723,0.9984962406015038,1
ESF1+ctrl,0.038040046,0.89799887,0.9879699248120299,1
CNOT2+ctrl,0.5362951,0.8906318,0.9909774436090225,1
CCT7+ctrl,0.2036283,0.93255234,0.9639097744360902,1
MRPS35+ctrl,0.40330604,0.84459895,0.9744360902255638,1
RPAP1+ctrl,0.43291014,0.8269733,0.9518796992481202,1
NCL+ctrl,0.43524575,0.7614855,0.9929824561403509,1
RPL39+ctrl,0.08969597,0.96300304,0.9565599867766488,1
NSA2+ctrl,0.63581425,0.6199493,0.9849624060150375,1
SRRM2+ctrl,1.1020534,0.26200226,0.8982456140350877,1
RPL37A+ctrl,0.08708306,0.995788,0.9824561403508772,1
RBM28+ctrl,0.47662732,0.80922955,0.9714285714285714,1
SNRPA1+ctrl,0.3008304,0.96627903,0.9593984962406013,1
INO80B+ctrl,0.22786027,0.7047714,0.9954887218045112,1
FTSJ3+ctrl,1.0472878,0.5160894,0.9233082706766916,1
SUPT16H+ctrl,0.30358154,0.92654973,0.9789473684210527,1
MARS+ctrl,0.120187126,0.93967766,0.9639097744360902,1
UBA3+ctrl,0.7280308,0.46295986,0.9744360902255638,1
CDC73+ctrl,0.22784443,0.9355383,0.9669172932330825,1
TANGO6+ctrl,0.59437764,0.59679395,0.9233082706766916,1
WDR3+ctrl,0.023443298,0.8695514,0.9909774436090225,1
EXOSC3+ctrl,0.28714988,0.9602541,0.9657766760455991,1
ACTR6+ctrl,0.9617584,0.41782895,0.9744360902255638,1
RPS27A+ctrl,0.08843414,0.8648543,0.9729323308270676,1
SNRPE+ctrl,0.19260754,0.9826636,0.9924812030075187,1
CSTF3+ctrl,0.61838794,0.84255743,0.9609022556390976,1
TAF12+ctrl,0.19774656,0.955995,0.9624060150375938,1
CEBPZ+ctrl,0.73843634,0.5648387,0.9789473684210527,1
WDR75+ctrl,0.09704328,0.93547964,0.9473684210526315,1
RPS3A+ctrl,0.087376766,0.9729268,0.9842105263157893,1
RAN+ctrl,0.29268855,0.8826368,0.9774436090225563,1
PNPT1+ctrl,0.74296224,0.77598155,0.8646616541353382,1
NELFB+ctrl,0.2566882,0.90436286,0.9924812030075187,1
ATP6V0B+ctrl,0.33616415,0.87145376,0.9859649122807018,1
COPS5+ctrl,0.35806656,0.8596378,0.9488721804511278,1
FAM50A+ctrl,0.37814647,0.7266863,0.984198924212229,1
THOC7+ctrl,0.26789424,0.91130203,0.9518796992481202,1
EIF3F+ctrl,0.2376684,0.9585141,0.932330827067669,1
EIF3J+ctrl,0.37721735,0.72413754,0.9383458646616539,1
MIOS+ctrl,1.3661368,0.17289168,0.9774436090225563,1
SCAF1+ctrl,0.4958579,0.69679534,0.9744360902255638,1
TADA3+ctrl,0.40012684,0.37938008,0.9819548872180449,1
PPP4R2+ctrl,0.88299847,0.39626226,0.9669172932330825,1
CPSF1+ctrl,0.74368656,0.53734064,0.9552464007616128,1
