,NormMSE,Pearson,Spearman,split
ACTB+ctrl,1.1132927,-0.21747583,0.975438596491228,1
CCDC6+ctrl,2.2078614,-0.6454551,0.9518796992481202,1
CAMLG+ctrl,2.0622802,-0.6043301,0.819548872180451,1
RNF8+ctrl,0.4266299,0.7644875,0.9624060150375938,1
SACM1L+ctrl,0.7600634,0.75754166,0.993984962406015,1
GTF3C2+ctrl,0.4212277,0.8352481,0.9428571428571428,1
UBR4+ctrl,0.710515,0.4115959,0.9714285714285714,1
NBPF12+ctrl,1.1325507,0.27835387,0.9428571428571428,1
ZBTB14+ctrl,1.2301636,-0.6720626,0.6105263157894737,1
PPA1+ctrl,0.2757552,0.8746285,0.9924812030075187,1
IK+ctrl,0.54198694,0.9752059,0.9699248120300751,1
INTS3+ctrl,0.31815174,0.96033216,0.909364487024244,1
LMO2+ctrl,1.015539,-0.092288874,0.9624060150375938,1
LTBP4+ctrl,1.4163336,-0.7535444,0.9398496240601503,1
SPCS3+ctrl,0.21011955,0.8864084,0.956390977443609,1
SERF2+ctrl,0.5147347,0.82046884,0.9381308494167316,1
DDX59+ctrl,0.3940974,0.8911039,0.9714285714285714,1
METTL21A+ctrl,1.0753112,0.11427553,0.7518796992481201,1
TSR1+ctrl,1.5731204,0.8928735,0.7744360902255639,1
BCL2L1+ctrl,1.383718,-0.018588856,0.993984962406015,1
UBE2M+ctrl,0.31119516,0.89407676,0.9879699248120299,1
IPO13+ctrl,0.7001065,0.87549275,0.9386988253153485,1
CPSF3+ctrl,0.36514857,0.9077102,0.9669172932330825,1
SF3A2+ctrl,0.41545585,0.9779915,0.9819548872180449,1
MED24+ctrl,0.20950174,0.9086004,0.8646616541353382,1
PUF60+ctrl,0.123177394,0.95737123,0.7610484641426928,1
UNC45A+ctrl,0.6519076,0.7321673,0.7112781954887217,1
PRORP+ctrl,0.39350575,0.79911065,0.9639097744360902,1
MRPL34+ctrl,0.90323246,0.6720798,0.8902255639097743,1
GART+ctrl,0.7068737,0.57359725,0.7188309234897459,1
GAR1+ctrl,0.054351546,0.9604486,0.3350907414570913,1
EIF3J+ctrl,0.4154922,0.78474116,0.9609022556390976,1
EIF2B3+ctrl,0.056932826,0.9858295,0.9029900427724807,1
SAMD4B+ctrl,0.65262115,0.4581365,0.918796992481203,1
SNRNP200+ctrl,0.35479668,0.96842664,0.9428571428571428,1
BCAR1+ctrl,3.3691518,0.22466975,0.9789473684210527,1
RBM10+ctrl,0.5160129,0.81716955,0.9353383458646616,1
NCL+ctrl,0.21008864,0.96683997,0.7178230988511344,1
CDC27+ctrl,0.042432554,0.9762678,0.5013175946750179,1
PPP1R7+ctrl,0.862301,0.38944066,0.8783443070940412,1
RCCD1+ctrl,0.6453639,0.64322656,0.9789473684210527,1
PAF1+ctrl,0.092376284,0.9618599,0.9680331636064532,1
LIN52+ctrl,0.14028579,0.9620061,0.9533834586466164,1
SUPT20H+ctrl,0.61216897,0.41595966,0.932330827067669,1
CASC3+ctrl,0.69278806,0.40983775,0.9248120300751879,1
RPL26+ctrl,0.005340174,0.9963957,0.5891134842932466,1
MRPL32+ctrl,0.19364922,0.879008,0.9864661654135337,1
TTK+ctrl,0.296473,0.91236645,0.8300751879699247,1
NPLOC4+ctrl,0.5941426,0.7108514,0.7639097744360903,1
MEX3A+ctrl,0.54844874,0.79018474,0.9473684210526315,1
CENPW+ctrl,0.81802785,0.6386321,0.9654135338345864,1
CCNK+ctrl,2.0073993,0.032277428,0.9714285714285714,1
CLOCK+ctrl,1.3019389,-0.47991386,0.724812030075188,1
SYS1+ctrl,0.01400429,0.9861038,0.9353383458646616,1
HNRNPA1+ctrl,1.8141317,-0.54310226,0.9245614035087718,1
INTS8+ctrl,0.13335285,0.9684857,0.9684210526315788,1
CENPP+ctrl,0.15880758,0.9354799,0.837787511821764,1
CAPZB+ctrl,0.49709907,0.7278041,0.9789473684210527,1
GNB1L+ctrl,1.3755753,0.78936195,0.9699248120300751,1
CCT3+ctrl,0.013490743,0.9922543,0.6195488721804511,1
DHX9+ctrl,0.3598008,0.84103,0.9548872180451128,1
PSMA3+ctrl,0.05002453,0.99206555,0.8536266656391397,1
MVK+ctrl,1.2388391,-0.26713514,0.8766917293233082,1
SLC2A8+ctrl,0.58859193,0.76193917,0.8040617341843812,1
ORC6+ctrl,0.56419456,0.8808329,0.8730459114487821,1
TFRC+ctrl,1.9985942,0.39758566,0.8962406015037594,1
UFL1+ctrl,1.046632,0.60074425,0.956390977443609,1
RBM15+ctrl,0.5303441,0.69003785,0.9518796992481202,1
SNRPA1+ctrl,0.120190315,0.9908058,-0.5283058489176349,1
CDC16+ctrl,0.112655535,0.97830784,0.9789473684210527,1
NEDD1+ctrl,0.56713074,0.7867147,0.9593984962406013,1
GTF2A1+ctrl,0.45312747,0.92506367,0.8466854311844588,1
DDX1+ctrl,0.8815565,0.56821144,0.9052631578947368,1
CCDC59+ctrl,0.004716796,0.99226135,0.8586466165413533,1
NIFK+ctrl,0.39649373,0.8433561,0.845381350469771,1
ICE1+ctrl,0.5913368,0.7169052,0.8792779862128546,1
UBE2H+ctrl,1.1488576,-0.2059242,0.9744360902255638,1
LSM4+ctrl,0.4246886,0.9624164,0.9157894736842105,1
PALB2+ctrl,0.73685324,0.7184104,0.9051215083852219,1
