,NormMSE,Pearson,Spearman,split,Method
BHLHE40+ctrl,1.2179812,-0.6409095555775324,0.9403508771929824,1,scOracle
TIMM23+ctrl,0.025220936,0.99564064259323,0.9859649122807018,1,scOracle
MRGBP+ctrl,0.40824044,0.9315895020945084,0.9421052631578948,1,scOracle
CAD+ctrl,0.37512964,0.8856534569400076,0.9624060150375938,1,scOracle
TMEM167A+ctrl,0.0957516,0.98290752070016,0.9736842105263156,1,scOracle
TELO2+ctrl,0.14727923,0.8671617976711871,1.0,1,scOracle
HSPA9+ctrl,0.133746,0.9773892938558498,0.950877192982456,1,scOracle
HSD17B12+ctrl,0.4142349,0.930909573210842,0.9578947368421052,1,scOracle
ARHGAP22+ctrl,0.17928828,0.9316261772334368,0.956390977443609,1,scOracle
PSMD4+ctrl,0.6319295,0.8191035074564489,0.9614035087719298,1,scOracle
TIMM44+ctrl,0.44488615,0.8270266819094065,0.8754385964912281,1,scOracle
PTDSS1+ctrl,0.030917104,0.982620796077032,0.9947368421052633,1,scOracle
HYOU1+ctrl,0.030339608,0.9827423056529124,0.9982456140350876,1,scOracle
UFM1+ctrl,0.028647948,0.994196252858572,0.9929824561403509,1,scOracle
XRN1+ctrl,0.38429007,0.9364277131798726,0.9624060150375938,1,scOracle
ZNF326+ctrl,1.2524626,-0.5352137105164922,0.943859649122807,2,scOracle
TIMM23+ctrl,0.17878747,0.983185098809632,0.9526315789473684,2,scOracle
SAMM50+ctrl,0.10741196,0.9937711180565296,0.9929824561403509,2,scOracle
GMPPB+ctrl,0.022540057,0.992799343751201,0.9969924812030074,2,scOracle
TMEM167A+ctrl,0.09673762,0.984675840900591,0.9894736842105264,2,scOracle
SLC39A7+ctrl,0.06985066,0.990120739600868,0.9982456140350876,2,scOracle
NEDD8+ctrl,0.2888299,0.9675567042396724,0.950877192982456,2,scOracle
MRPL39+ctrl,0.06889081,0.9848050102239948,0.9666666666666668,2,scOracle
GBF1+ctrl,0.035723843,0.9905283351881567,0.9969924812030074,2,scOracle
HSPA5+ctrl,0.97400963,0.6309896061661949,0.7097744360902255,2,scOracle
SCYL1+ctrl,0.32153937,0.94490845160467,0.9789473684210528,2,scOracle
TIMM44+ctrl,0.43289265,0.8988491552181754,0.8491228070175438,2,scOracle
COPB1+ctrl,0.15424478,0.9587231224174932,0.98796992481203,2,scOracle
COPZ1+ctrl,0.25858513,0.9520040248608148,0.9526315789473684,2,scOracle
DNAJC19+ctrl,0.2100327,0.9632741443536512,0.9684210526315788,2,scOracle
EIF2B4+ctrl,0.049917586,0.97877849448257,0.9771929824561404,3,scOracle
YIPF5+ctrl,0.11573425,0.9756501510859632,0.9736842105263156,3,scOracle
IDH3A+ctrl,0.052093185,0.9841672429194754,0.9982456140350876,3,scOracle
IARS2+ctrl,0.34710833,0.8474846543837866,0.9087719298245612,3,scOracle
DDRGK1+ctrl,0.07378,0.9856751811567984,0.987719298245614,3,scOracle
SYVN1+ctrl,0.08207886,0.9495796974184172,0.9982456140350876,3,scOracle
GMPPB+ctrl,0.009684248,0.9944451815335428,0.9984962406015038,3,scOracle
