,NormMSE,Pearson,Spearman,split
BHLHE40+ctrl,1.0324637,-0.21719735581427813,0.9456140350877192,1
HARS+ctrl,0.09918789,0.9800496706739068,0.956140350877193,1
ATP5B+ctrl,0.042347685,0.9856310300529003,0.975438596491228,1
DERL2+ctrl,0.05469369,0.9503225675434805,0.9929824561403509,1
TELO2+ctrl,0.1358351,0.875173211659785,1.0,1
MRPL39+ctrl,0.11789456,0.9465904734097421,0.9368421052631579,1
MANF+ctrl,0.014296491,0.9949003915535286,1.0,1
TARS+ctrl,0.38407934,0.835043715313077,0.980701754385965,1
TTI1+ctrl,0.22330493,0.9288440119707957,0.9666666666666668,1
SRP72+ctrl,0.05697757,0.9778990961058298,0.9982456140350877,1
SCYL1+ctrl,0.5737705,0.8355771945789456,0.9421052631578948,1
HYOU1+ctrl,0.18249537,0.8923916162166279,0.9947368421052631,1
TMED10+ctrl,0.055486485,0.99554763402557,0.9982456140350877,1
CCND3+ctrl,0.2373272,0.9711429737508297,0.9929824561403509,1
COPB1+ctrl,0.05543958,0.98544448800385,0.9894736842105262,1
CARS+ctrl,0.19223471,0.991974507458508,0.8701754385964912,1
SPCS2+ctrl,0.028544083,0.9850886257290767,1.0,1
CREB1+ctrl,0.88574636,0.4883309605065733,0.956390977443609,2
SLMO2+ctrl,0.37326652,0.8770573902875185,0.9491228070175438,2
TIMM23+ctrl,0.018435974,0.9915545685216784,0.9894736842105263,2
AMIGO3+ctrl,0.13082491,0.9711276870657457,1.0,2
QARS+ctrl,0.1817537,0.9797884897561744,0.9017543859649122,2
ATP5B+ctrl,0.02130391,0.9902163501828909,0.980701754385965,2
SYVN1+ctrl,0.03310422,0.9866659349645488,0.9982456140350877,2
MTHFD1+ctrl,0.48320815,0.7102985755773261,0.8473684210526315,2
TTI1+ctrl,0.19739492,0.9500604055356234,0.9719298245614034,2
SRP68+ctrl,0.088474855,0.9530959704425186,0.9982456140350877,2
TIMM44+ctrl,0.3818373,0.8698652847670019,0.8789473684210527,2
DDOST+ctrl,0.041771963,0.985840892419219,0.9859649122807018,2
TMED10+ctrl,0.037483506,0.9933125774405198,0.9982456140350877,2
DNAJC19+ctrl,0.114406765,0.9857935719192028,0.975438596491228,2
CARS+ctrl,0.26246166,0.9840260641649365,0.8350877192982457,2
P4HB+ctrl,0.036463812,0.9878518220502883,0.9982456140350877,2
SPCS2+ctrl,0.022920283,0.9838627168192033,1.0,2
OST4+ctrl,0.14055644,0.9931847451043723,0.9947368421052631,3
EIF2B4+ctrl,0.03844945,0.9860044987872243,0.9929824561403509,3
IER3IP1+ctrl,0.95396113,0.6136125531047583,0.8596491228070176,3
YIPF5+ctrl,0.18215317,0.9756407523527741,0.9824561403508772,3
DAD1+ctrl,0.10176701,0.9889683881192468,0.9894736842105263,3
SEL1L+ctrl,0.13108912,0.9809744737576693,0.9774436090225563,3
TTI2+ctrl,0.02049231,0.9856578898766202,1.0,3
DERL2+ctrl,0.08249744,0.916410111974983,0.980701754385965,3
SEC61B+ctrl,0.031593625,0.9881932933349162,0.9964912280701754,3
EIF2B2+ctrl,0.031551942,0.9884070409461856,0.9912280701754386,3
HSPA5+ctrl,0.8695262,0.662222309038043,0.7172932330827068,3
TIMM44+ctrl,0.29485422,0.9149611694738269,0.887719298245614,3
UFM1+ctrl,0.079539254,0.981380316632567,0.9947368421052631,3
SEC61G+ctrl,0.029193237,0.9938566940836608,0.9859649122807018,3
DNAJC19+ctrl,0.069774516,0.9888145970180631,0.9842105263157893,3
TMED2+ctrl,0.05964151,0.9956759326159954,0.9982456140350877,3
SPCS3+ctrl,0.05234901,0.9882363490760326,0.9929824561403509,3
OST4+ctrl,0.07754395,0.9611009111031308,0.9929824561403509,4
SEC61A1+ctrl,0.14824876,0.974675762001425,0.887719298245614,4
AMIGO3+ctrl,0.068240695,0.977549109519714,0.9984962406015038,4
UFL1+ctrl,0.13426124,0.9655110354942735,0.9719298245614034,4
DDRGK1+ctrl,0.15941128,0.9407607740722597,0.9736842105263157,4
MTHFD1+ctrl,0.40063697,0.7916459280240815,0.8578947368421052,4
HSPA9+ctrl,0.18283918,0.9453642256557941,0.9315789473684211,4
SEC61B+ctrl,0.042337485,0.9783934798324481,0.9982456140350877,4
TARS+ctrl,0.5313983,0.8160729464143515,0.9789473684210527,4
HSPA5+ctrl,0.8166878,0.722129113972187,0.7233082706766917,4
SRP68+ctrl,0.09383005,0.9472592564998195,1.0,4
PTDSS1+ctrl,0.056656927,0.9861675959537024,0.9964912280701754,4
HYOU1+ctrl,0.08887194,0.9631391793955117,0.9929824561403509,4
SLC35B1+ctrl,0.049963664,0.968567817893927,0.9982456140350877,4
UFM1+ctrl,0.16567938,0.9139048930082936,0.9684210526315788,4
PPWD1+ctrl,0.12136837,0.9675564239150845,0.9824561403508772,4
TMED2+ctrl,0.010935846,0.9974322222988121,0.9982456140350877,4
HARS+ctrl,0.09133268,0.9875768944621086,0.9684210526315788,5
DAD1+ctrl,0.1172507,0.9876102999751311,0.9894736842105263,5
IARS2+ctrl,0.044000063,0.9857598524540663,0.9614035087719298,5
DDRGK1+ctrl,0.31729165,0.936551874037832,0.9631578947368421,5
STT3A+ctrl,0.0509797,0.9814474363520276,1.0,5
SAMM50+ctrl,0.07422403,0.9875100459903479,0.9859649122807018,5
MRGBP+ctrl,0.94692975,0.3915640949999215,0.9052631578947368,5
SYVN1+ctrl,0.09237935,0.9799952820176259,0.9947368421052631,5
TMEM167A+ctrl,0.104005285,0.9794623381458223,0.9736842105263157,5
SLC39A7+ctrl,0.094156265,0.9769542469584849,0.9982456140350877,5
SEC63+ctrl,0.07028778,0.982581909502187,0.9982456140350877,5
ASCC3+ctrl,0.29004234,0.887803949881345,0.987719298245614,5
HSPA5+ctrl,0.7015175,0.7272937656380236,0.7548872180451127,5
KCTD16+ctrl,0.015206297,0.9934694156363548,0.9984962406015038,5
CHERP+ctrl,0.42165413,0.8579612181347329,0.8859649122807017,5
AARS+ctrl,0.13871874,0.980136354919523,0.8982456140350877,5
CARS+ctrl,0.26381084,0.9751326302066445,0.8403508771929825,5
