,NormMSE,Pearson,Spearman,n_pred,seed,split
BHLHE40+ctrl,0.9288273,0.203182902187109,0.9526315789473684,100,1,1
HARS+ctrl,0.10710857,0.9814874613657594,0.9578947368421052,100,1,1
ATP5B+ctrl,0.09537543,0.9716954119503498,0.9666666666666668,100,1,1
DERL2+ctrl,0.014582915,0.9873053206229088,0.9964912280701754,100,1,1
TELO2+ctrl,0.22257757,0.7907048904990006,0.9982456140350877,100,1,1
MRPL39+ctrl,0.16977964,0.908391278819181,0.9333333333333333,100,1,1
MANF+ctrl,0.039767917,0.985253170481883,0.9947368421052631,100,1,1
TARS+ctrl,0.36912653,0.8194289561361074,0.9701754385964911,100,1,1
TTI1+ctrl,0.21445666,0.9436518806032836,0.9649122807017543,100,1,1
SRP72+ctrl,0.013929012,0.9945211349404417,0.9982456140350877,100,1,1
SCYL1+ctrl,0.3859854,0.8852980951778591,0.9526315789473684,100,1,1
HYOU1+ctrl,0.09806278,0.9446288222534349,0.9947368421052631,100,1,1
TMED10+ctrl,0.020113448,0.9945590996649116,0.9982456140350877,100,1,1
CCND3+ctrl,0.39782858,0.9022640401963145,0.9578947368421052,100,1,1
COPB1+ctrl,0.035436362,0.9889058005064726,0.9954887218045112,100,1,1
CARS+ctrl,0.17812654,0.9906068602576852,0.856140350877193,100,1,1
SPCS2+ctrl,0.056063578,0.9816106525395298,1.0,100,1,1
BHLHE40+ctrl,0.93003976,0.19656697718892246,0.9526315789473684,100,2,1
HARS+ctrl,0.11135443,0.9839232424274087,0.9649122807017543,100,2,1
ATP5B+ctrl,0.09905081,0.9743429087102413,0.9684210526315788,100,2,1
DERL2+ctrl,0.012713955,0.9893514106115617,0.9964912280701754,100,2,1
TELO2+ctrl,0.21108669,0.7992511941292832,0.9982456140350877,100,2,1
MRPL39+ctrl,0.17491639,0.9075690376921557,0.9403508771929823,100,2,1
MANF+ctrl,0.03932117,0.9838557147886604,0.9947368421052631,100,2,1
TARS+ctrl,0.35649255,0.821354191750288,0.9719298245614034,100,2,1
TTI1+ctrl,0.20807844,0.951690758462064,0.9649122807017543,100,2,1
SRP72+ctrl,0.013915584,0.9941101029398851,0.9982456140350877,100,2,1
