,NormMSE,1-PCC,split,Method
BHLHE40+ctrl,0.96028197,0.9361970432343374,1,Scouter
HARS+ctrl,0.11753885,0.017242510474267836,1,Scouter
ATP5B+ctrl,0.07202098,0.008615373418755956,1,Scouter
DERL2+ctrl,0.09237542,0.05497793448002475,1,Scouter
TELO2+ctrl,0.13417745,0.09538705497489042,1,Scouter
MRPL39+ctrl,0.17265585,0.08914150615982097,1,Scouter
MANF+ctrl,0.008934887,0.0032733121775979646,1,Scouter
TARS+ctrl,0.32473084,0.16409633183670547,1,Scouter
TTI1+ctrl,0.3173127,0.054484250159035574,1,Scouter
SRP72+ctrl,0.016749302,0.009948103205531633,1,Scouter
SCYL1+ctrl,0.25448865,0.05650993357072642,1,Scouter
HYOU1+ctrl,0.09530185,0.04245079563367782,1,Scouter
TMED10+ctrl,0.069540076,0.021547408344438024,1,Scouter
CCND3+ctrl,0.39145648,0.1004821683930418,1,Scouter
COPB1+ctrl,0.10145468,0.017193145509170837,1,Scouter
CARS+ctrl,0.23182745,0.0068661675106358455,1,Scouter
SPCS2+ctrl,0.018568411,0.010876002773422377,1,Scouter
CREB1+ctrl,0.7951993,0.3526857322885528,2,Scouter
SLMO2+ctrl,0.27895635,0.09293892837778117,2,Scouter
TIMM23+ctrl,0.04174358,0.00939726567106125,2,Scouter
AMIGO3+ctrl,0.06916936,0.007233104401714985,2,Scouter
QARS+ctrl,0.23104231,0.032019775004903384,2,Scouter
ATP5B+ctrl,0.026886884,0.0066600746724405635,2,Scouter
SYVN1+ctrl,0.03129786,0.014390039645854613,2,Scouter
MTHFD1+ctrl,0.35712886,0.1850875304504539,2,Scouter
TTI1+ctrl,0.23518686,0.0462268218059908,2,Scouter
SRP68+ctrl,0.082668565,0.046519665626032825,2,Scouter
TIMM44+ctrl,0.34102607,0.08758549390627979,2,Scouter
DDOST+ctrl,0.062927626,0.004437964498687386,2,Scouter
TMED10+ctrl,0.08180439,0.01463937441182439,2,Scouter
DNAJC19+ctrl,0.09251926,0.022975636810509625,2,Scouter
CARS+ctrl,0.19659536,0.012821889599632375,2,Scouter
P4HB+ctrl,0.037118383,0.008574811378204816,2,Scouter
SPCS2+ctrl,0.021595392,0.011675678236967246,2,Scouter
OST4+ctrl,0.08304004,0.0176465001145516,3,Scouter
EIF2B4+ctrl,0.08309848,0.03506656389634677,3,Scouter
IER3IP1+ctrl,0.7883889,0.34077145389039987,3,Scouter
YIPF5+ctrl,0.13107315,0.0488477991266556,3,Scouter
DAD1+ctrl,0.07180251,0.04446537174565257,3,Scouter
SEL1L+ctrl,0.24935591,0.062404224932857244,3,Scouter
TTI2+ctrl,0.047372703,0.01584108762381098,3,Scouter
DERL2+ctrl,0.21060264,0.1750455093001051,3,Scouter
SEC61B+ctrl,0.053248808,0.009990434260476966,3,Scouter
EIF2B2+ctrl,0.05439133,0.021346612934195597,3,Scouter
HSPA5+ctrl,0.83976245,0.3450682766506882,3,Scouter
TIMM44+ctrl,0.1509696,0.03133510922309202,3,Scouter
UFM1+ctrl,0.15477361,0.07223632450467155,3,Scouter
SEC61G+ctrl,0.059170775,0.017514872640329582,3,Scouter
DNAJC19+ctrl,0.04743119,0.019757214424040992,3,Scouter
TMED2+ctrl,0.032207537,0.0019274486495312049,3,Scouter
