,NormMSE,1-PCC,split,Method
MED9+ctrl,0.09940008,0.02839565692265522,1,Scouter
RPL10A+ctrl,0.07549165,0.024661497586735193,1,Scouter
EIF1AX+ctrl,0.37978026,0.17450102656650457,1,Scouter
POP7+ctrl,3.944971,0.5400027696419414,1,Scouter
MED10+ctrl,0.043145467,0.028288237803815175,1,Scouter
PSMC4+ctrl,0.12328709,0.0046905596546852335,1,Scouter
CNOT3+ctrl,0.32847217,0.09974878986494651,1,Scouter
ELP5+ctrl,1.1065396,0.43034759379847953,1,Scouter
RPS6+ctrl,0.08007817,0.02431385578433576,1,Scouter
MTOR+ctrl,0.5211207,0.25605016317106466,1,Scouter
PRPF40A+ctrl,0.9210264,0.7722393958422303,1,Scouter
SLU7+ctrl,0.32030985,0.041656022524633185,1,Scouter
SLC7A5+ctrl,1.5153793,0.22113632619103019,1,Scouter
RPS27+ctrl,0.059706397,0.17825237464251786,1,Scouter
U2SURP+ctrl,0.63815475,0.2369714971492145,1,Scouter
C1QBP+ctrl,0.23038,0.12587949681179067,1,Scouter
PCF11+ctrl,0.5221086,0.3324218852232137,1,Scouter
SERBP1+ctrl,0.4184778,0.21126192721937476,1,Scouter
ABCB7+ctrl,0.78746927,0.5819523634463538,1,Scouter
MAK16+ctrl,0.8716465,0.6345755561565827,1,Scouter
ZCCHC9+ctrl,0.32598406,0.12982327604234556,1,Scouter
LAMTOR4+ctrl,1.8220062,1.6105772591856715,1,Scouter
ACTL6A+ctrl,0.76188827,0.544309778046244,1,Scouter
BUB3+ctrl,0.6332534,0.36570163944897394,1,Scouter
SAMM50+ctrl,0.5405807,0.20609361747541777,1,Scouter
ALG2+ctrl,1.3008442,1.2401906184642655,1,Scouter
RPS19+ctrl,0.05272802,0.024394049595839018,1,Scouter
MCM4+ctrl,0.3166956,0.09025427511480122,1,Scouter
PSMD11+ctrl,0.057758864,0.027529280965889802,1,Scouter
PSMB7+ctrl,0.15415494,0.026556652226579547,1,Scouter
DYNLL1+ctrl,0.34736475,0.07587356272474621,1,Scouter
COG2+ctrl,0.32554257,0.14711859907356295,1,Scouter
RPLP2+ctrl,0.22983482,0.09866350536073998,1,Scouter
LSM5+ctrl,0.49770862,0.02824149207006399,1,Scouter
DPH2+ctrl,1.4818584,1.0194719816358069,1,Scouter
TCOF1+ctrl,0.7061578,0.5432567528653485,1,Scouter
SART1+ctrl,0.33523026,0.05709613622021237,1,Scouter
CWF19L2+ctrl,0.12669036,0.041804213557437575,1,Scouter
BGLAP+ctrl,0.9219307,1.2795976009543555,1,Scouter
TCERG1+ctrl,1.7061309,1.4110656099516212,1,Scouter
SUGT1+ctrl,1.5800781,1.4215778450626062,1,Scouter
MZT1+ctrl,0.3498557,0.24165625251115375,1,Scouter
LSM7+ctrl,0.023162998,0.009951948277194367,1,Scouter
NFRKB+ctrl,0.30487442,0.26522461111582696,1,Scouter
SRPRB+ctrl,0.5310756,0.48692939215091013,1,Scouter
RPS11+ctrl,0.040597145,0.02333412688861758,1,Scouter
RPL21+ctrl,0.018891096,0.008764812736215655,1,Scouter
PHAX+ctrl,0.94855744,1.2273724663352796,1,Scouter
LSM2+ctrl,0.23896836,0.03248126015616759,1,Scouter
ATP6V1A+ctrl,0.08288224,0.07703529649218044,1,Scouter
RPS28+ctrl,0.018670822,0.09758210906973697,1,Scouter
GAB2+ctrl,0.9480616,0.9688257244225079,1,Scouter
MAGOH+ctrl,0.5202869,0.08436786208226676,1,Scouter
U2AF1+ctrl,0.51726896,0.09106354006559525,1,Scouter
PRPF4+ctrl,0.35890636,0.18304182834925564,1,Scouter
ORC5+ctrl,0.20282719,0.08979159153424343,1,Scouter
SMN2+ctrl,0.41978288,0.13333884950723196,1,Scouter
ANKRD11+ctrl,1.3095598,1.0549308316942112,1,Scouter
CCDC86+ctrl,0.250239,0.08952102279346541,1,Scouter
MRPL51+ctrl,0.11099588,0.07471516086275543,1,Scouter
EXOSC9+ctrl,0.10388745,0.02747690291054239,1,Scouter
TRMT10C+ctrl,0.8789141,0.6056722244201065,1,Scouter
EIF2B5+ctrl,0.21379139,0.02512583019683201,1,Scouter
KPNB1+ctrl,0.30118853,0.06909358982395475,1,Scouter
DDX55+ctrl,0.19138968,0.05836703930425635,1,Scouter
FNTA+ctrl,1.490334,1.4419228390058834,1,Scouter
MRPL16+ctrl,0.24944694,0.16465129297853975,1,Scouter
DHDDS+ctrl,1.1728568,0.8878334043062744,1,Scouter
POLD3+ctrl,0.08155161,0.02051796423167085,1,Scouter
POLR2D+ctrl,0.13774343,0.0794545877321996,1,Scouter
DYNC1H1+ctrl,0.24628559,0.27351984031513943,1,Scouter
ZNF574+ctrl,1.2746079,0.9297263305629702,1,Scouter
CCT6A+ctrl,0.05983052,0.02131874209678364,1,Scouter
TARS+ctrl,0.49126074,0.2534741850081741,1,Scouter
WBP11+ctrl,0.5347469,0.32719609875749767,1,Scouter
MED20+ctrl,0.17022385,0.0930126695425354,1,Scouter
WDR12+ctrl,0.9479797,0.7893716144346861,1,Scouter
NOP2+ctrl,0.28349972,0.11620248344390682,1,Scouter
CCDC59+ctrl,1.0070109,0.7685543057954272,1,Scouter
NIFK+ctrl,0.55943227,0.23937661620567263,1,Scouter
HAUS4+ctrl,0.25619033,0.2714199881067467,1,Scouter
LRPPRC+ctrl,0.8925548,0.7107019441794127,1,Scouter
DDX54+ctrl,0.4574543,0.12696122022007827,1,Scouter
RPS17+ctrl,0.12765937,0.025201681955307587,1,Scouter
PDRG1+ctrl,0.9750403,0.8091840680005065,1,Scouter
GINS3+ctrl,0.47672808,0.07831297211633359,1,Scouter
XAB2+ctrl,0.38497502,0.27852554335485025,1,Scouter
EBNA1BP2+ctrl,0.5017237,0.1787424918623035,1,Scouter
RPL4+ctrl,0.03978893,0.009690839708753174,1,Scouter
NMD3+ctrl,0.5029369,0.24484276875578814,1,Scouter
UBAP1+ctrl,0.4635933,0.2713484439427003,1,Scouter
RPF2+ctrl,0.16154923,0.10070184644835212,1,Scouter
MRPL54+ctrl,0.64030147,0.047812351727280045,1,Scouter
POLRMT+ctrl,1.1575607,1.6182663725139188,1,Scouter
NDUFB8+ctrl,0.3192087,0.19239389056161516,1,Scouter
LETM1+ctrl,0.23795494,0.09582472489659799,1,Scouter
MMS22L+ctrl,0.92257,0.588322041701594,1,Scouter
SNRNP27+ctrl,0.92136747,0.5440923261286386,1,Scouter
SRP54+ctrl,0.4140388,0.1988756114601936,1,Scouter
TUT1+ctrl,1.3393865,0.6829985557239885,1,Scouter
SBNO1+ctrl,3.724328,1.2501944956947808,1,Scouter
HYPK+ctrl,1.0112364,0.6998711631554302,1,Scouter
CHMP2A+ctrl,0.09959628,0.025479541239817993,1,Scouter
