,NormMSE,1-PCC,split,subgroup,Method
ETS2+TGFBR2,0.06645844,0.03140898950403481,1,seen2,Scouter
ELMSAN1+ctrl,0.12352527,0.06595953140584276,1,single,Scouter
PTPN12+UBASH3B,0.012449556,0.002213649302692633,1,seen1,Scouter
ETS2+IGDCC3,0.09587185,0.032977086256257615,1,seen2,Scouter
KLF1+ctrl,0.054833673,0.015722813349069553,1,single,Scouter
BAK1+ctrl,0.46494424,0.17026547394965774,1,single,Scouter
LHX1+ctrl,0.10899026,0.03868605580363982,1,single,Scouter
DUSP9+MAPK1,0.11662805,0.025199154436207793,1,seen1,Scouter
COL2A1+ctrl,0.2530434,0.09376961605149037,1,single,Scouter
UBASH3B+ctrl,0.14571664,0.02617513217348244,1,single,Scouter
CEBPE+SET,0.2777247,0.06049602040683222,1,seen2,Scouter
PTPN9+UBASH3B,0.02581905,0.004264436505935998,1,seen1,Scouter
S1PR2+ctrl,0.120079204,0.09935487772505613,1,single,Scouter
CELF2+ctrl,0.99830616,0.7110384847018298,1,single,Scouter
MAP4K3+ctrl,1.5028225,0.9386117458723371,1,single,Scouter
CDKN1A+ctrl,0.06340765,0.02230417823472164,1,single,Scouter
MAPK1+ctrl,0.057430334,0.007285993778346045,1,single,Scouter
IKZF3+ctrl,0.009646442,0.004466340185454443,1,single,Scouter
HOXC13+ctrl,0.09947636,0.0237950757649682,1,single,Scouter
BCL2L11+TGFBR2,0.1403493,0.04537230037230122,1,seen2,Scouter
AHR+KLF1,0.03370053,0.057061459364819433,1,seen1,Scouter
PLK4+ctrl,0.33241874,0.08101526330467201,1,single,Scouter
FOXL2+ctrl,0.113654114,0.04815698614283481,1,single,Scouter
CEBPE+FOSB,0.12454305,0.024735693883304433,1,seen2,Scouter
CEBPA+ctrl,0.08294953,0.0028598326602243818,1,single,Scouter
CEBPB+FOSB,0.19263928,0.035866556796549376,1,seen1,Scouter
KLF1+SET,0.2404837,0.11579910745424304,1,seen1,Scouter
CNN1+UBASH3A,0.16093549,0.016178345685122775,1,seen2,Scouter
ELMSAN1+MAP2K6,0.077186935,0.019013010444759226,1,seen1,Scouter
CEBPA+KLF1,0.08375575,0.04525670573317797,1,seen0,Scouter
IGDCC3+TGFBR2,0.042779975,0.01746706025724365,1,seen2,Scouter
SAMD1+ZBTB1,0.09355592,0.024646115110389832,1,seen1,Scouter
NCL+ctrl,0.7198318,0.558922369532301,1,single,Scouter
OSR2+ctrl,0.15128191,0.04134867763237615,1,single,Scouter
SPI1+ctrl,0.04000975,0.007435977243595571,1,single,Scouter
CEBPB+ctrl,0.15430298,0.006324315134762171,1,single,Scouter
