,NormMSE,1-PCC,split,Method
ACTB+ctrl,0.84536886,0.3266487480573832,1,Scouter
CCDC6+ctrl,1.2996752,1.3481178418234858,1,Scouter
CAMLG+ctrl,1.4497383,1.1870110399609453,1,Scouter
RNF8+ctrl,0.5939621,0.12714359940149267,1,Scouter
SACM1L+ctrl,0.16825259,0.04676459086630125,1,Scouter
GTF3C2+ctrl,0.88708293,0.6389812869242943,1,Scouter
UBR4+ctrl,0.4509088,0.3189003761238911,1,Scouter
NBPF12+ctrl,2.3496244,0.6458235742102016,1,Scouter
ZBTB14+ctrl,1.1441269,1.7913906839576332,1,Scouter
PPA1+ctrl,0.2235288,0.09925265405860717,1,Scouter
IK+ctrl,0.16109563,0.04116364867317879,1,Scouter
INTS3+ctrl,0.18925029,0.013319755652794751,1,Scouter
LMO2+ctrl,1.4680991,1.2782209416532875,1,Scouter
SPCS3+ctrl,0.4211725,0.23377643308870433,1,Scouter
SERF2+ctrl,0.8365053,0.5027589912745746,1,Scouter
DDX59+ctrl,0.7342543,0.1255516171433677,1,Scouter
METTL21A+ctrl,0.66766274,0.4030337063088063,1,Scouter
TSR1+ctrl,1.3916535,0.10346113011190916,1,Scouter
BCL2L1+ctrl,1.2814155,1.0567131467617064,1,Scouter
UBE2M+ctrl,0.53918266,0.19873535878939153,1,Scouter
IPO13+ctrl,0.38109532,0.05064670471316035,1,Scouter
CPSF3+ctrl,0.18789539,0.0793513743931904,1,Scouter
SF3A2+ctrl,0.16511545,0.032463477074972436,1,Scouter
MED24+ctrl,0.22219808,0.14862840710440728,1,Scouter
PUF60+ctrl,0.09010864,0.027785842534134186,1,Scouter
UNC45A+ctrl,0.689788,0.1619513320735263,1,Scouter
PRORP+ctrl,0.5273755,0.3685049373705872,1,Scouter
PPP2CB+ctrl,0.6504077,0.2498915805078582,1,Scouter
CUL2+ctrl,0.088586494,0.015494479077705625,1,Scouter
TRMT5+ctrl,0.5294115,0.23194490417138036,1,Scouter
BOP1+ctrl,1.7653184,0.04344146926946002,1,Scouter
EIF3J+ctrl,0.4635352,0.24756224822609996,1,Scouter
PPP1R37+ctrl,0.7573505,0.5038416694188591,1,Scouter
INTS13+ctrl,1.3282138,0.8620664397602558,1,Scouter
SASS6+ctrl,0.19070102,0.00724701445943321,1,Scouter
NUP88+ctrl,0.09522848,0.005625545058598358,1,Scouter
UROD+ctrl,2.5510743,1.723519183652933,1,Scouter
TP53RK+ctrl,0.3171259,0.05879515187887441,1,Scouter
TOMM20+ctrl,0.30700237,0.01763918360213723,1,Scouter
TREX2+ctrl,0.10309031,0.0381626355191802,1,Scouter
SARS2+ctrl,1.2678915,0.8820103599533224,1,Scouter
FBXL14+ctrl,0.5168261,0.407897049729146,1,Scouter
CDC73+ctrl,0.31350434,0.07751811814563525,1,Scouter
SF3B5+ctrl,0.021694822,0.011706958402475598,1,Scouter
POLR2I+ctrl,0.34441742,0.14146262845209456,1,Scouter
NUP133+ctrl,0.04364364,0.021412766333466005,1,Scouter
MRPL32+ctrl,0.8900412,0.48485116812271845,1,Scouter
EIF3CL+ctrl,0.07070431,0.0065835083814927975,1,Scouter
DDX17+ctrl,1.0024915,0.8582548085016886,1,Scouter
PTPMT1+ctrl,0.5801461,0.17387271485134181,1,Scouter
RPA1+ctrl,0.117780596,0.005645444041573189,1,Scouter
EHMT2+ctrl,0.69385356,0.5497350564299526,1,Scouter
CCNK+ctrl,3.271699,1.1533107726146075,1,Scouter
ANAPC1+ctrl,0.4243477,0.10799614295718563,1,Scouter
ARPC4+ctrl,0.6033181,0.20068043735294572,1,Scouter
HNRNPA1+ctrl,2.1261146,1.4124898375485462,1,Scouter
SCFD1+ctrl,0.010931752,0.020145932872064787,1,Scouter
RBM12+ctrl,1.2877878,0.9001647421073316,1,Scouter
BAP1+ctrl,0.836469,0.71004383548668,1,Scouter
GNB1L+ctrl,0.8901209,0.4088598347164185,1,Scouter
PHF10+ctrl,0.9625181,0.9025895280227372,1,Scouter
HSPA14+ctrl,1.244363,0.42051927614153717,1,Scouter
ANAPC13+ctrl,0.74569285,0.5236187914690917,1,Scouter
CCDC84+ctrl,0.15591256,0.049495238381538575,1,Scouter
MVK+ctrl,1.5033699,1.6181716143480054,1,Scouter
DSTYK+ctrl,0.5579942,0.4270660055319062,1,Scouter
PPIL2+ctrl,0.34669122,0.1701275166860894,1,Scouter
XPO1+ctrl,0.3155066,0.03681452931686158,1,Scouter
SYF2+ctrl,0.71874785,0.43758538509373335,1,Scouter
HNRNPL+ctrl,0.4969013,0.0650745548124756,1,Scouter
SNRPA1+ctrl,0.08531555,0.007956198282513371,1,Scouter
UCHL5+ctrl,1.1086925,1.1056142669903135,1,Scouter
COPS6+ctrl,0.027872775,0.013141567644709973,1,Scouter
RNF113A+ctrl,0.4258714,0.29103033643419896,1,Scouter
RPL34+ctrl,0.015796227,0.004578737393498455,1,Scouter
ICE1+ctrl,0.1679549,0.035326450143891575,1,Scouter
GARS+ctrl,0.37897223,0.09692064924864996,1,Scouter
SLC7A6OS+ctrl,1.3202462,1.7349783933861511,1,Scouter
SMARCE1+ctrl,1.0447392,1.039569015434163,1,Scouter
RFT1+ctrl,1.6497531,1.5341535818375496,1,Scouter
WDR33+ctrl,0.17952204,0.08440936385051223,1,Scouter
RBM4+ctrl,0.58459955,0.2029422761488534,1,Scouter
ZFC3H1+ctrl,0.8458986,0.7738376081708727,1,Scouter
DHDDS+ctrl,0.91843563,0.539349900835806,1,Scouter
MBTPS2+ctrl,2.2300978,1.327197576938097,1,Scouter
POP7+ctrl,0.013361031,0.007147184275641649,1,Scouter
DIMT1+ctrl,0.046015672,0.003984742240225603,1,Scouter
TEFM+ctrl,0.58773685,0.558054039457863,1,Scouter
